Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1161,1305,2466,Ponnagyun,MMR012002
 Rural,2512,20357,22869,Ponnagyun,MMR012002
 Total,3673,21662,25335,Ponnagyun,MMR012002
