Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,5027,2273,7300,Wundwin,MMR010031
 Rural,16315,29954,46269,Wundwin,MMR010031
 Total,21342,32227,53569,Wundwin,MMR010031
