Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,11777,1557,13334,MuSe,MMR015009
 Rural,6939,1941,8880,MuSe,MMR015009
 Total,18716,3498,22214,MuSe,MMR015009
