Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,2080,762,2842,Natogyi,MMR010019
 Rural,13945,24178,38123,Natogyi,MMR010019
 Total,16025,24940,40965,Natogyi,MMR010019
