Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1574,194,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,1807,968,2775,Pansai(KyuKute)(ST),MMR015009
 Total,3381,1162,4543,Pansai(KyuKute)(ST),MMR015009
