Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1395,166,1561,Minesat,MMR016006
 Rural,5925,8423,14348,Minesat,MMR016006
 Total,7320,8589,15909,Minesat,MMR016006
