Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,4209,1693,5902,Paung,MMR011008
 Rural,22749,15075,37824,Paung,MMR011008
 Total,26958,16768,43726,Paung,MMR011008
