Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,29638,10030,39668,Myitkyina,MMR001001
 Rural,5180,5735,10915,Myitkyina,MMR001001
 Total,34818,15765,50583,Myitkyina,MMR001001
 Urban,2440,1380,3820,Waingmaw,MMR001002
 Rural,6823,9137,15960,Waingmaw,MMR001002
 Total,9263,10517,19780,Waingmaw,MMR001002
 Urban,19,59,78,Ingyanyan,MMR001003
 Rural,39,168,207,Ingyanyan,MMR001003
 Total,58,227,285,Ingyanyan,MMR001003
 Urban,2242,1452,3694,Tanaing,MMR001004
 Rural,1181,1523,2704,Tanaing,MMR001004
 Total,3423,2975,6398,Tanaing,MMR001004
 Urban,172,157,329,Chiphwe,MMR001005
 Rural,624,978,1602,Chiphwe,MMR001005
 Total,796,1135,1931,Chiphwe,MMR001005
 Urban,33,33,66,Hsotlaw,MMR001006
 Rural,220,787,1007,Hsotlaw,MMR001006
 Total,253,820,1073,Hsotlaw,MMR001006
 Urban,392,312,704,Hsinbo(ST),MMR001001
 Rural,591,713,1304,Hsinbo(ST),MMR001001
 Total,983,1025,2008,Hsinbo(ST),MMR001001
 Urban,294,216,510,Hsadone(ST),MMR001002
 Rural,359,741,1100,Hsadone(ST),MMR001002
 Total,653,957,1610,Hsadone(ST),MMR001002
 Urban,151,23,174,Kanpaikti(ST),MMR001002
 Rural,474,822,1296,Kanpaikti(ST),MMR001002
 Total,625,845,1470,Kanpaikti(ST),MMR001002
 Urban,668,357,1025,Shinbwayyan(ST),MMR001004
 Rural,315,790,1105,Shinbwayyan(ST),MMR001004
 Total,983,1147,2130,Shinbwayyan(ST),MMR001004
 Urban,169,27,196,Panwa(ST),MMR001005
 Rural,466,713,1179,Panwa(ST),MMR001005
 Total,635,740,1375,Panwa(ST),MMR001005
 Urban,4924,1429,6353,Mohnyin,MMR001007
 Rural,15113,8724,23837,Mohnyin,MMR001007
 Total,20037,10153,30190,Mohnyin,MMR001007
 Urban,3475,973,4448,Mogaung,MMR001008
 Rural,12418,8032,20450,Mogaung,MMR001008
 Total,15893,9005,24898,Mogaung,MMR001008
 Urban,4895,1961,6856,Phakant,MMR001009
 Rural,17839,8439,26278,Phakant,MMR001009
 Total,22734,10400,33134,Phakant,MMR001009
 Urban,3317,1224,4541,Hopin(ST),MMR001007
 Rural,3003,1888,4891,Hopin(ST),MMR001007
 Total,6320,3112,9432,Hopin(ST),MMR001007
 Urban,626,404,1030,Kamine(ST),MMR001009
 Rural,1067,1401,2468,Kamine(ST),MMR001009
 Total,1693,1805,3498,Kamine(ST),MMR001009
 Urban,7716,1799,9515,Bhamo,MMR001010
 Rural,9077,5569,14646,Bhamo,MMR001010
 Total,16793,7368,24161,Bhamo,MMR001010
 Urban,2657,745,3402,Shwegu,MMR001011
 Rural,6732,5694,12426,Shwegu,MMR001011
 Total,9389,6439,15828,Shwegu,MMR001011
 Urban,1098,992,2090,Momauk,MMR001012
 Rural,4201,2343,6544,Momauk,MMR001012
 Total,5299,3335,8634,Momauk,MMR001012
 Urban,993,625,1618,Mansi,MMR001013
 Rural,5816,3120,8936,Mansi,MMR001013
 Total,6809,3745,10554,Mansi,MMR001013
 Urban,196,165,361,Myohla(ST),MMR001011
 Rural,238,194,432,Myohla(ST),MMR001011
 Total,434,359,793,Myohla(ST),MMR001011
 Urban,993,232,1225,Lwe`ge`(ST),MMR001012
 Rural,192,86,278,Lwe`ge`(ST),MMR001012
 Total,1185,318,1503,Lwe`ge`(ST),MMR001012
 Urban,142,169,311,Dotphoneyan(ST),MMR001012
 Rural,762,1160,1922,Dotphoneyan(ST),MMR001012
 Total,904,1329,2233,Dotphoneyan(ST),MMR001012
 Urban,1372,1439,2811,Putao,MMR001014
 Rural,1395,6537,7932,Putao,MMR001014
 Total,2767,7976,10743,Putao,MMR001014
 Urban,67,105,172,Sumprabum,MMR001015
 Rural,99,208,307,Sumprabum,MMR001015
 Total,166,313,479,Sumprabum,MMR001015
 Urban,179,229,408,Machanbaw,MMR001016
 Rural,224,1087,1311,Machanbaw,MMR001016
 Total,403,1316,1719,Machanbaw,MMR001016
 Urban,8,62,70,Khaunglanphoo,MMR001018
 Rural,194,1447,1641,Khaunglanphoo,MMR001018
 Total,202,1509,1711,Khaunglanphoo,MMR001018
 Urban,99,261,360,Naungmoon,MMR001017
 Rural,15,568,583,Naungmoon,MMR001017
 Total,114,829,943,Naungmoon,MMR001017
 Urban,9,15,24,Pannandin(ST),MMR001017
 Rural,14,231,245,Pannandin(ST),MMR001017
 Total,23,246,269,Pannandin(ST),MMR001017
 Urban,8858,1564,10422,Loikaw,MMR002001
 Rural,9325,6748,16073,Loikaw,MMR002001
 Total,18183,8312,26495,Loikaw,MMR002001
 Urban,750,387,1137,Dimawso,MMR002002
 Rural,6585,7625,14210,Dimawso,MMR002002
 Total,7335,8012,15347,Dimawso,MMR002002
 Urban,624,229,853,Phruso,MMR002003
 Rural,737,4320,5057,Phruso,MMR002003
 Total,1361,4549,5910,Phruso,MMR002003
 Urban,172,164,336,Shardaw,MMR002004
 Rural,45,1025,1070,Shardaw,MMR002004
 Total,217,1189,1406,Shardaw,MMR002004
 Urban,649,190,839,Bawlakhe,MMR002005
 Rural,166,584,750,Bawlakhe,MMR002005
 Total,815,774,1589,Bawlakhe,MMR002005
 Urban,473,121,594,Parsaung,MMR002006
 Rural,1949,2190,4139,Parsaung,MMR002006
 Total,2422,2311,4733,Parsaung,MMR002006
 Urban,156,39,195,Meisi,MMR002007
 Rural,513,594,1107,Meisi,MMR002007
 Total,669,633,1302,Meisi,MMR002007
 Urban,175,117,292,Ywathit(ST),MMR002005
 Rural,69,131,200,Ywathit(ST),MMR002005
 Total,244,248,492,Ywathit(ST),MMR002005
 Urban,12148,2620,14768,Hpa-an,MMR003001
 Rural,38950,35479,74429,Hpa-an,MMR003001
 Total,51098,38099,89197,Hpa-an,MMR003001
 Urban,1630,649,2279,Hlaingbwe,MMR003002
 Rural,9629,19678,29307,Hlaingbwe,MMR003002
 Total,11259,20327,31586,Hlaingbwe,MMR003002
 Urban,2183,879,3062,Thandaunggyi,MMR003004
 Rural,1045,1702,2747,Thandaunggyi,MMR003004
 Total,3228,2581,5809,Thandaunggyi,MMR003004
 Urban,368,439,807,Paingkyon(ST),MMR003002
 Rural,5003,11968,16971,Paingkyon(ST),MMR003002
 Total,5371,12407,17778,Paingkyon(ST),MMR003002
 Urban,12,71,83,Shan Ywathit(ST),MMR003002
 Rural,326,3347,3673,Shan Ywathit(ST),MMR003002
 Total,338,3418,3756,Shan Ywathit(ST),MMR003002
 Urban,302,305,607,Leiktho(ST),MMR003004
 Rural,2394,6925,9319,Leiktho(ST),MMR003004
 Total,2696,7230,9926,Leiktho(ST),MMR003004
 Urban,278,158,436,Bawgali(ST),MMR003004
 Rural,1042,1927,2969,Bawgali(ST),MMR003004
