Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1311,745,2056,Htantabin,MMR013006
 Rural,16171,15984,32155,Htantabin,MMR013006
 Total,17482,16729,34211,Htantabin,MMR013006
