Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,753,100,853,Minemaw,MMR015008
 Rural,4602,4990,9592,Minemaw,MMR015008
 Total,5355,5090,10445,Minemaw,MMR015008
