Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1455,325,1780,Singaing,MMR010014
 Rural,18221,13578,31799,Singaing,MMR010014
 Total,19676,13903,33579,Singaing,MMR010014
