Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,387,287,674,Homane(ST),MMR014018
 Rural,166,320,486,Homane(ST),MMR014018
 Total,553,607,1160,Homane(ST),MMR014018
