Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,24,57,81,ManKan(ST),MMR015005
 Rural,41,193,234,ManKan(ST),MMR015005
 Total,65,250,315,ManKan(ST),MMR015005
