Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,642,546,1188,Thabeikkyin,MMR010012
 Rural,10338,14223,24561,Thabeikkyin,MMR010012
 Total,10980,14769,25749,Thabeikkyin,MMR010012
