Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,20649,4073,24722,Zabuthiri,MMR018002
 Rural,696,902,1598,Zabuthiri,MMR018002
 Total,21345,4975,26320,Zabuthiri,MMR018002
