Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1290,458,1748,Kholan(ST),MMR014013
 Rural,1148,1468,2616,Kholan(ST),MMR014013
 Total,2438,1926,4364,Kholan(ST),MMR014013
