Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1226,1449,2675,Ngwehsaung(ST),MMR017001
 Rural,1875,4920,6795,Ngwehsaung(ST),MMR017001
 Total,3101,6369,9470,Ngwehsaung(ST),MMR017001
