Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,6916,1575,8491,Kyaukse,MMR010013
 Rural,25432,23842,49274,Kyaukse,MMR010013
 Total,32348,25417,57765,Kyaukse,MMR010013
