Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,1210,1104,2314,Maungtaw,MMR012009
 Rural,970,4106,5076,Maungtaw,MMR012009
 Total,2180,5210,7390,Maungtaw,MMR012009
