Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,248,259,507,Minesan(Monsan)(ST),MMR014017
 Rural,2685,3474,6159,Minesan(Monsan)(ST),MMR014017
 Total,2933,3733,6666,Minesan(Monsan)(ST),MMR014017
