Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,725,581,1306,Mannaung,MMR017011
 Rural,2143,11286,13429,Mannaung,MMR017011
 Total,2868,11867,14735,Mannaung,MMR017011
