Urban_Rural,Television_Yes,Television_No,Television_Total,Township,MIMU_code
 Urban,3174,2243,5417,Kyaiklatt,MMR017025
 Rural,15286,23045,38331,Kyaiklatt,MMR017025
 Total,18460,25288,43748,Kyaiklatt,MMR017025
