Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),6415,6970,13385,Khawzar,MMR011006
 Associate Scrutiny Card (blue),1,7,8,Khawzar,MMR011006
 Naturalised Scrutiny Card (green),32,10,42,Khawzar,MMR011006
 National Registration Card (3-fold),88,126,214,Khawzar,MMR011006
 Religious card,84,3,87,Khawzar,MMR011006
 Temporary Registration Card (white),33,41,74,Khawzar,MMR011006
 Foreign Passport,-,1,1,Khawzar,MMR011006
 None,2179,2193,4372,Khawzar,MMR011006
 Child under 10 years,2328,2152,4480,Khawzar,MMR011006
 Total,11160,11503,22663,Khawzar,MMR011006
