Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),1086,809,1895,Ywathit(ST),MMR002005
 Naturalised Scrutiny Card (green),2,-,2,Ywathit(ST),MMR002005
 National Registration Card (3-fold),3,3,6,Ywathit(ST),MMR002005
 Religious card,8,-,8,Ywathit(ST),MMR002005
 Foreign Registration Card (FRC),2,3,5,Ywathit(ST),MMR002005
 Foreign Passport,6,-,6,Ywathit(ST),MMR002005
 None,73,52,125,Ywathit(ST),MMR002005
 Child under 10 years,241,228,469,Ywathit(ST),MMR002005
 Total,1421,1095,2516,Ywathit(ST),MMR002005
