Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),16764,17641,34405,Putao,MMR001014
 Associate Scrutiny Card (blue),17,22,39,Putao,MMR001014
 Naturalised Scrutiny Card (green),18,14,32,Putao,MMR001014
 National Registration Card (3-fold),67,101,168,Putao,MMR001014
 Religious card,34,2,36,Putao,MMR001014
 Temporary Registration Card (white),145,133,278,Putao,MMR001014
 Foreign Registration Card (FRC),1,-,1,Putao,MMR001014
 Foreign Passport,13,9,22,Putao,MMR001014
 None,5060,5137,10197,Putao,MMR001014
 Child under 10 years,8043,7854,15897,Putao,MMR001014
 Total,30162,30913,61075,Putao,MMR001014
