Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),72758,81563,154321,Toungoo,MMR007009
 Associate Scrutiny Card (blue),151,151,302,Toungoo,MMR007009
 Naturalised Scrutiny Card (green),902,946,1848,Toungoo,MMR007009
 National Registration Card (3-fold),1414,2321,3735,Toungoo,MMR007009
 Religious card,1366,187,1553,Toungoo,MMR007009
 Temporary Registration Card (white),498,782,1280,Toungoo,MMR007009
 Foreign Registration Card (FRC),39,45,84,Toungoo,MMR007009
 Foreign Passport,39,32,71,Toungoo,MMR007009
 None,24339,27597,51936,Toungoo,MMR007009
 Child under 10 years,23636,23290,46926,Toungoo,MMR007009
 Total,125142,136914,262056,Toungoo,MMR007009
