Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),23028,23662,46690,Kyaukkyi,MMR007011
 Associate Scrutiny Card (blue),16,22,38,Kyaukkyi,MMR007011
 Naturalised Scrutiny Card (green),251,226,477,Kyaukkyi,MMR007011
 National Registration Card (3-fold),355,607,962,Kyaukkyi,MMR007011
 Religious card,376,103,479,Kyaukkyi,MMR007011
 Temporary Registration Card (white),226,292,518,Kyaukkyi,MMR007011
 Foreign Registration Card (FRC),-,1,1,Kyaukkyi,MMR007011
 Foreign Passport,26,31,57,Kyaukkyi,MMR007011
 None,16436,20913,37349,Kyaukkyi,MMR007011
 Child under 10 years,13573,13185,26758,Kyaukkyi,MMR007011
 Total,54287,59042,113329,Kyaukkyi,MMR007011
