Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),2208,2442,4650,Manhero(ST),MMR015009
 Naturalised Scrutiny Card (green),6,6,12,Manhero(ST),MMR015009
 National Registration Card (3-fold),137,262,399,Manhero(ST),MMR015009
 Religious card,20,-,20,Manhero(ST),MMR015009
 Temporary Registration Card (white),1,2,3,Manhero(ST),MMR015009
 Foreign Registration Card (FRC),6,5,11,Manhero(ST),MMR015009
 None,336,279,615,Manhero(ST),MMR015009
 Child under 10 years,528,549,1077,Manhero(ST),MMR015009
 Total,3242,3545,6787,Manhero(ST),MMR015009
