Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),18061,20333,38394,Kyauktalongyi(ST),MMR014001
 Associate Scrutiny Card (blue),2,3,5,Kyauktalongyi(ST),MMR014001
 Naturalised Scrutiny Card (green),4,3,7,Kyauktalongyi(ST),MMR014001
 National Registration Card (3-fold),25,47,72,Kyauktalongyi(ST),MMR014001
 Religious card,166,6,172,Kyauktalongyi(ST),MMR014001
 Temporary Registration Card (white),15,8,23,Kyauktalongyi(ST),MMR014001
 Foreign Registration Card (FRC),1,-,1,Kyauktalongyi(ST),MMR014001
 Foreign Passport,4,3,7,Kyauktalongyi(ST),MMR014001
 None,3084,2790,5874,Kyauktalongyi(ST),MMR014001
 Child under 10 years,5884,5978,11862,Kyauktalongyi(ST),MMR014001
 Total,27246,29171,56417,Kyauktalongyi(ST),MMR014001
