Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28517,30038,58555,Kungyangon,MMR013029
 Associate Scrutiny Card (blue),15,26,41,Kungyangon,MMR013029
 Naturalised Scrutiny Card (green),124,45,169,Kungyangon,MMR013029
 National Registration Card (3-fold),829,1151,1980,Kungyangon,MMR013029
 Religious card,478,57,535,Kungyangon,MMR013029
 Temporary Registration Card (white),173,213,386,Kungyangon,MMR013029
 Foreign Registration Card (FRC),3,2,5,Kungyangon,MMR013029
 Foreign Passport,12,13,25,Kungyangon,MMR013029
 None,13519,15915,29434,Kungyangon,MMR013029
 Child under 10 years,10437,10065,20502,Kungyangon,MMR013029
 Total,54107,57525,111632,Kungyangon,MMR013029
