Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),47647,44813,92460,Minhla,MMR009013
 Associate Scrutiny Card (blue),19,19,38,Minhla,MMR009013
 Naturalised Scrutiny Card (green),97,64,161,Minhla,MMR009013
 National Registration Card (3-fold),293,543,836,Minhla,MMR009013
 Religious card,364,36,400,Minhla,MMR009013
 Temporary Registration Card (white),107,63,170,Minhla,MMR009013
 Foreign Registration Card (FRC),9,15,24,Minhla,MMR009013
 Foreign Passport,25,10,35,Minhla,MMR009013
 None,13160,15874,29034,Minhla,MMR009013
 Child under 10 years,11412,11512,22924,Minhla,MMR009013
 Total,73133,72949,146082,Minhla,MMR009013
