Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),75860,77016,152876,Yame`thin,MMR010023
 Associate Scrutiny Card (blue),69,64,133,Yame`thin,MMR010023
 Naturalised Scrutiny Card (green),442,322,764,Yame`thin,MMR010023
 National Registration Card (3-fold),1243,1746,2989,Yame`thin,MMR010023
 Religious card,957,67,1024,Yame`thin,MMR010023
 Temporary Registration Card (white),393,256,649,Yame`thin,MMR010023
 Foreign Registration Card (FRC),14,6,20,Yame`thin,MMR010023
 Foreign Passport,70,22,92,Yame`thin,MMR010023
 None,24613,31760,56373,Yame`thin,MMR010023
 Child under 10 years,21707,21464,43171,Yame`thin,MMR010023
 Total,125368,132723,258091,Yame`thin,MMR010023
