Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),47109,50821,97930,Pwint Phyu,MMR009008
 Associate Scrutiny Card (blue),15,25,40,Pwint Phyu,MMR009008
 Naturalised Scrutiny Card (green),83,77,160,Pwint Phyu,MMR009008
 National Registration Card (3-fold),360,619,979,Pwint Phyu,MMR009008
 Religious card,601,59,660,Pwint Phyu,MMR009008
 Temporary Registration Card (white),77,87,164,Pwint Phyu,MMR009008
 Foreign Registration Card (FRC),3,4,7,Pwint Phyu,MMR009008
 Foreign Passport,8,13,21,Pwint Phyu,MMR009008
 None,14048,20982,35030,Pwint Phyu,MMR009008
 Child under 10 years,14436,14265,28701,Pwint Phyu,MMR009008
 Total,76740,86952,163692,Pwint Phyu,MMR009008
