Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17408,17322,34730,Payarthonezu(ST),MMR003007
 Associate Scrutiny Card (blue),32,16,48,Payarthonezu(ST),MMR003007
 Naturalised Scrutiny Card (green),117,35,152,Payarthonezu(ST),MMR003007
 National Registration Card (3-fold),462,428,890,Payarthonezu(ST),MMR003007
 Religious card,304,44,348,Payarthonezu(ST),MMR003007
 Temporary Registration Card (white),193,221,414,Payarthonezu(ST),MMR003007
 Foreign Registration Card (FRC),16,7,23,Payarthonezu(ST),MMR003007
 Foreign Passport,24,28,52,Payarthonezu(ST),MMR003007
 None,14916,16744,31660,Payarthonezu(ST),MMR003007
 Child under 10 years,11128,11039,22167,Payarthonezu(ST),MMR003007
 Total,44600,45884,90484,Payarthonezu(ST),MMR003007
