Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),67400,83503,150903,Chanayeharzan,MMR010002
 Associate Scrutiny Card (blue),462,455,917,Chanayeharzan,MMR010002
 Naturalised Scrutiny Card (green),577,510,1087,Chanayeharzan,MMR010002
 National Registration Card (3-fold),529,622,1151,Chanayeharzan,MMR010002
 Religious card,2996,124,3120,Chanayeharzan,MMR010002
 Temporary Registration Card (white),291,156,447,Chanayeharzan,MMR010002
 Foreign Registration Card (FRC),102,119,221,Chanayeharzan,MMR010002
 Foreign Passport,565,220,785,Chanayeharzan,MMR010002
 None,9897,8203,18100,Chanayeharzan,MMR010002
 Child under 10 years,10426,10018,20444,Chanayeharzan,MMR010002
 Total,93245,103930,197175,Chanayeharzan,MMR010002
