Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),40578,43968,84546,Ye,MMR011006
 Associate Scrutiny Card (blue),35,28,63,Ye,MMR011006
 Naturalised Scrutiny Card (green),222,66,288,Ye,MMR011006
 National Registration Card (3-fold),662,803,1465,Ye,MMR011006
 Religious card,811,55,866,Ye,MMR011006
 Temporary Registration Card (white),180,194,374,Ye,MMR011006
 Foreign Registration Card (FRC),5,3,8,Ye,MMR011006
 Foreign Passport,11,5,16,Ye,MMR011006
 None,18402,16946,35348,Ye,MMR011006
 Child under 10 years,15183,14328,29511,Ye,MMR011006
 Total,76089,76396,152485,Ye,MMR011006
