Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),73686,86173,159859,Mawlamyine,MMR011001
 Associate Scrutiny Card (blue),61,119,180,Mawlamyine,MMR011001
 Naturalised Scrutiny Card (green),614,343,957,Mawlamyine,MMR011001
 National Registration Card (3-fold),9608,14346,23954,Mawlamyine,MMR011001
 Religious card,2562,570,3132,Mawlamyine,MMR011001
 Temporary Registration Card (white),330,352,682,Mawlamyine,MMR011001
 Foreign Registration Card (FRC),32,45,77,Mawlamyine,MMR011001
 Foreign Passport,300,189,489,Mawlamyine,MMR011001
 None,28147,25450,53597,Mawlamyine,MMR011001
 Child under 10 years,23686,22775,46461,Mawlamyine,MMR011001
 Total,139026,150362,289388,Mawlamyine,MMR011001
