Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),40635,39565,80200,Kyaukpyu,MMR012011
 Associate Scrutiny Card (blue),23,27,50,Kyaukpyu,MMR012011
 Naturalised Scrutiny Card (green),74,38,112,Kyaukpyu,MMR012011
 National Registration Card (3-fold),286,372,658,Kyaukpyu,MMR012011
 Religious card,513,19,532,Kyaukpyu,MMR012011
 Temporary Registration Card (white),171,218,389,Kyaukpyu,MMR012011
 Foreign Registration Card (FRC),5,2,7,Kyaukpyu,MMR012011
 Foreign Passport,649,30,679,Kyaukpyu,MMR012011
 None,20305,30746,51051,Kyaukpyu,MMR012011
 Child under 10 years,16101,15573,31674,Kyaukpyu,MMR012011
 Total,78762,86590,165352,Kyaukpyu,MMR012011
