Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),38482,45132,83614,Dawei,MMR006001
 Associate Scrutiny Card (blue),61,42,103,Dawei,MMR006001
 Naturalised Scrutiny Card (green),165,154,319,Dawei,MMR006001
 National Registration Card (3-fold),245,334,579,Dawei,MMR006001
 Religious card,661,157,818,Dawei,MMR006001
 Temporary Registration Card (white),154,101,255,Dawei,MMR006001
 Foreign Registration Card (FRC),53,46,99,Dawei,MMR006001
 Foreign Passport,133,48,181,Dawei,MMR006001
 None,9090,9024,18114,Dawei,MMR006001
 Child under 10 years,11000,10523,21523,Dawei,MMR006001
 Total,60044,65561,125605,Dawei,MMR006001
