Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),48400,52433,100833,Kyaikto,MMR011009
 Associate Scrutiny Card (blue),62,64,126,Kyaikto,MMR011009
 Naturalised Scrutiny Card (green),217,132,349,Kyaikto,MMR011009
 National Registration Card (3-fold),705,1009,1714,Kyaikto,MMR011009
 Religious card,1455,139,1594,Kyaikto,MMR011009
 Temporary Registration Card (white),260,292,552,Kyaikto,MMR011009
 Foreign Registration Card (FRC),6,2,8,Kyaikto,MMR011009
 Foreign Passport,22,16,38,Kyaikto,MMR011009
 None,19536,21484,41020,Kyaikto,MMR011009
 Child under 10 years,19368,18930,38298,Kyaikto,MMR011009
 Total,90031,94501,184532,Kyaikto,MMR011009
