Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),63561,63961,127522,Kyonpyaw,MMR017005
 Associate Scrutiny Card (blue),39,31,70,Kyonpyaw,MMR017005
 Naturalised Scrutiny Card (green),121,72,193,Kyonpyaw,MMR017005
 National Registration Card (3-fold),285,450,735,Kyonpyaw,MMR017005
 Religious card,604,81,685,Kyonpyaw,MMR017005
 Temporary Registration Card (white),56,49,105,Kyonpyaw,MMR017005
 Foreign Registration Card (FRC),-,1,1,Kyonpyaw,MMR017005
 Foreign Passport,11,8,19,Kyonpyaw,MMR017005
 None,26552,35165,61717,Kyonpyaw,MMR017005
 Child under 10 years,22509,22171,44680,Kyonpyaw,MMR017005
 Total,113738,121989,235727,Kyonpyaw,MMR017005
