Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),41146,45404,86550,Oatwin,MMR007013
 Associate Scrutiny Card (blue),34,38,72,Oatwin,MMR007013
 Naturalised Scrutiny Card (green),508,596,1104,Oatwin,MMR007013
 National Registration Card (3-fold),412,566,978,Oatwin,MMR007013
 Religious card,567,50,617,Oatwin,MMR007013
 Temporary Registration Card (white),85,106,191,Oatwin,MMR007013
 Foreign Registration Card (FRC),1,1,2,Oatwin,MMR007013
 Foreign Passport,22,17,39,Oatwin,MMR007013
 None,16290,21587,37877,Oatwin,MMR007013
 Child under 10 years,16316,16082,32398,Oatwin,MMR007013
 Total,75381,84447,159828,Oatwin,MMR007013
