Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),28076,24848,52924,Ahmar(ST),MMR017023
 Associate Scrutiny Card (blue),16,22,38,Ahmar(ST),MMR017023
 Naturalised Scrutiny Card (green),38,26,64,Ahmar(ST),MMR017023
 National Registration Card (3-fold),114,165,279,Ahmar(ST),MMR017023
 Religious card,230,6,236,Ahmar(ST),MMR017023
 Temporary Registration Card (white),31,30,61,Ahmar(ST),MMR017023
 Foreign Passport,7,18,25,Ahmar(ST),MMR017023
 None,19597,22431,42028,Ahmar(ST),MMR017023
 Child under 10 years,15585,15539,31124,Ahmar(ST),MMR017023
 Total,63694,63085,126779,Ahmar(ST),MMR017023
