Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17039,21188,38227,Namsan(North),MMR015016
 Associate Scrutiny Card (blue),66,62,128,Namsan(North),MMR015016
 Naturalised Scrutiny Card (green),112,100,212,Namsan(North),MMR015016
 National Registration Card (3-fold),204,378,582,Namsan(North),MMR015016
 Religious card,311,205,516,Namsan(North),MMR015016
 Temporary Registration Card (white),40,43,83,Namsan(North),MMR015016
 Foreign Registration Card (FRC),25,10,35,Namsan(North),MMR015016
 Foreign Passport,8,3,11,Namsan(North),MMR015016
 None,6887,9486,16373,Namsan(North),MMR015016
 Child under 10 years,8016,8021,16037,Namsan(North),MMR015016
 Total,32708,39496,72204,Namsan(North),MMR015016
