Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33755,31297,65052,Hainggyikyun(ST),MMR017004
 Associate Scrutiny Card (blue),22,19,41,Hainggyikyun(ST),MMR017004
 Naturalised Scrutiny Card (green),50,30,80,Hainggyikyun(ST),MMR017004
 National Registration Card (3-fold),264,315,579,Hainggyikyun(ST),MMR017004
 Religious card,269,11,280,Hainggyikyun(ST),MMR017004
 Temporary Registration Card (white),51,46,97,Hainggyikyun(ST),MMR017004
 Foreign Registration Card (FRC),7,8,15,Hainggyikyun(ST),MMR017004
 Foreign Passport,9,7,16,Hainggyikyun(ST),MMR017004
 None,12894,14518,27412,Hainggyikyun(ST),MMR017004
 Child under 10 years,10594,10343,20937,Hainggyikyun(ST),MMR017004
 Total,57915,56594,114509,Hainggyikyun(ST),MMR017004
