Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),3395,3173,6568,Hsinbo(ST),MMR001001
 Associate Scrutiny Card (blue),2,1,3,Hsinbo(ST),MMR001001
 Naturalised Scrutiny Card (green),7,-,7,Hsinbo(ST),MMR001001
 National Registration Card (3-fold),15,14,29,Hsinbo(ST),MMR001001
 Religious card,31,6,37,Hsinbo(ST),MMR001001
 Temporary Registration Card (white),27,19,46,Hsinbo(ST),MMR001001
 Foreign Passport,2,-,2,Hsinbo(ST),MMR001001
 None,919,738,1657,Hsinbo(ST),MMR001001
 Child under 10 years,1164,1142,2306,Hsinbo(ST),MMR001001
 Total,5562,5093,10655,Hsinbo(ST),MMR001001
