Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),17771,15112,32883,Minesat,MMR016006
 Associate Scrutiny Card (blue),30,30,60,Minesat,MMR016006
 Naturalised Scrutiny Card (green),26,10,36,Minesat,MMR016006
 National Registration Card (3-fold),39,36,75,Minesat,MMR016006
 Religious card,93,9,102,Minesat,MMR016006
 Temporary Registration Card (white),286,280,566,Minesat,MMR016006
 Foreign Registration Card (FRC),3,1,4,Minesat,MMR016006
 Foreign Passport,6,3,9,Minesat,MMR016006
 None,15506,13646,29152,Minesat,MMR016006
 Child under 10 years,11971,11695,23666,Minesat,MMR016006
 Total,45731,40822,86553,Minesat,MMR016006
