Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),927,442,1369,Cocogyun,MMR013032
 Naturalised Scrutiny Card (green),-,1,1,Cocogyun,MMR013032
 National Registration Card (3-fold),38,7,45,Cocogyun,MMR013032
 Religious card,4,-,4,Cocogyun,MMR013032
 Temporary Registration Card (white),9,1,10,Cocogyun,MMR013032
 None,191,73,264,Cocogyun,MMR013032
 Child under 10 years,125,122,247,Cocogyun,MMR013032
 Total,1294,646,1940,Cocogyun,MMR013032
