Identity_card,Sex_Male,Sex_Female,Sex_Total,Township,MIMU_code
 Citizenship Scrutiny Card (pink),33980,36353,70333,Okpo,MMR008010
 Associate Scrutiny Card (blue),84,99,183,Okpo,MMR008010
 Naturalised Scrutiny Card (green),160,167,327,Okpo,MMR008010
 National Registration Card (3-fold),258,376,634,Okpo,MMR008010
 Religious card,391,52,443,Okpo,MMR008010
 Temporary Registration Card (white),104,132,236,Okpo,MMR008010
 Foreign Registration Card (FRC),2,4,6,Okpo,MMR008010
 Foreign Passport,6,6,12,Okpo,MMR008010
 None,15126,18552,33678,Okpo,MMR008010
 Child under 10 years,10594,10216,20810,Okpo,MMR008010
 Total,60705,65957,126662,Okpo,MMR008010
