Urban_Rural,Internet_at_home_Yes,Internet_at_home_No,Internet_at_home_Total,Township,MIMU_code
 Urban,141,999,1140,Kyaukhtu(ST),MMR009025
 Rural,215,6254,6469,Kyaukhtu(ST),MMR009025
 Total,356,7253,7609,Kyaukhtu(ST),MMR009025
 Urban,9085,40646,49731,Aungmyetharzan,MMR010001
 Total,9085,40646,49731,Aungmyetharzan,MMR010001
 Urban,10962,22319,33281,Chanayeharzan,MMR010002
 Total,10962,22319,33281,Chanayeharzan,MMR010002
 Urban,11079,30848,41927,Mahaaungmye,MMR010003
 Total,11079,30848,41927,Mahaaungmye,MMR010003
 Urban,12587,40460,53047,Chanmyatharzi,MMR010004
 Total,12587,40460,53047,Chanmyatharzi,MMR010004
 Urban,8346,35529,43875,Pyigyidagun,MMR010005
 Total,8346,35529,43875,Pyigyidagun,MMR010005
 Urban,3021,13609,16630,Amarapura,MMR010006
 Rural,3038,29958,32996,Amarapura,MMR010006
 Total,6059,43567,49626,Amarapura,MMR010006
 Urban,863,1839,2702,Patheingyi,MMR010007
 Rural,5345,44943,50288,Patheingyi,MMR010007
 Total,6208,46782,52990,Patheingyi,MMR010007
 Urban,4200,27741,31941,Pyin Oo Lwin,MMR010008
 Rural,1527,19914,21441,Pyin Oo Lwin,MMR010008
 Total,5727,47655,53382,Pyin Oo Lwin,MMR010008
 Urban,679,4632,5311,Madaya,MMR010009
 Rural,1422,51912,53334,Madaya,MMR010009
 Total,2101,56544,58645,Madaya,MMR010009
 Urban,205,1527,1732,Sinku,MMR010010
 Rural,842,31959,32801,Sinku,MMR010010
 Total,1047,33486,34533,Sinku,MMR010010
 Urban,2733,13953,16686,Mogok,MMR010011
 Rural,700,17861,18561,Mogok,MMR010011
 Total,3433,31814,35247,Mogok,MMR010011
 Urban,2,1186,1188,Thabeikkyin,MMR010012
 Rural,93,24468,24561,Thabeikkyin,MMR010012
 Total,95,25654,25749,Thabeikkyin,MMR010012
 Urban,21,1772,1793,Tagaung,MMR010012
 Rural,44,5555,5599,Tagaung,MMR010012
 Total,65,7327,7392,Tagaung,MMR010012
 Urban,1982,6509,8491,Kyaukse,MMR010013
 Rural,2541,46733,49274,Kyaukse,MMR010013
 Total,4523,53242,57765,Kyaukse,MMR010013
 Urban,277,1503,1780,Singaing,MMR010014
 Rural,1874,29925,31799,Singaing,MMR010014
 Total,2151,31428,33579,Singaing,MMR010014
 Urban,476,3870,4346,Myitthar,MMR010015
 Rural,774,40897,41671,Myitthar,MMR010015
 Total,1250,44767,46017,Myitthar,MMR010015
 Urban,619,2033,2652,Tada U,MMR010016
 Rural,1074,28901,29975,Tada U,MMR010016
 Total,1693,30934,32627,Tada U,MMR010016
 Urban,767,18130,18897,Myingyan,MMR010017
 Rural,508,42935,43443,Myingyan,MMR010017
 Total,1275,61065,62340,Myingyan,MMR010017
 Urban,178,3685,3863,Taungtha,MMR010018
 Rural,519,45470,45989,Taungtha,MMR010018
 Total,697,49155,49852,Taungtha,MMR010018
 Urban,168,2674,2842,Natogyi,MMR010019
 Rural,294,37829,38123,Natogyi,MMR010019
 Total,462,40503,40965,Natogyi,MMR010019
 Urban,854,8159,9013,Kyaukpadaung,MMR010020
 Rural,476,52472,52948,Kyaukpadaung,MMR010020
 Total,1330,60631,61961,Kyaukpadaung,MMR010020
 Urban,131,1526,1657,Ngazun,MMR010021
 Rural,186,25995,26181,Ngazun,MMR010021
 Total,317,27521,27838,Ngazun,MMR010021
 Urban,977,8538,9515,Nyaung U,MMR010022
 Rural,668,34479,35147,Nyaung U,MMR010022
 Total,1645,43017,44662,Nyaung U,MMR010022
 Urban,158,5169,5327,Yame`thin,MMR010023
 Rural,518,51414,51932,Yame`thin,MMR010023
 Total,676,56583,57259,Yame`thin,MMR010023
 Urban,639,6235,6874,Pyawbwe,MMR010024
 Rural,854,51135,51989,Pyawbwe,MMR010024
 Total,1493,57370,58863,Pyawbwe,MMR010024
 Urban,2991,20972,23963,Meiktila,MMR010028
 Rural,1557,42919,44476,Meiktila,MMR010028
 Total,4548,63891,68439,Meiktila,MMR010028
 Urban,382,4338,4720,Thazi,MMR010030
 Rural,982,39190,40172,Thazi,MMR010030
 Total,1364,43528,44892,Thazi,MMR010030
 Urban,843,6457,7300,Wundwin,MMR010031
 Rural,1015,45254,46269,Wundwin,MMR010031
 Total,1858,51711,53569,Wundwin,MMR010031
 Urban,6476,43258,49734,Mawlamyine,MMR011001
 Rural,743,6980,7723,Mawlamyine,MMR011001
 Total,7219,50238,57457,Mawlamyine,MMR011001
 Urban,122,2054,2176,Kyaikemaraw,MMR011002
 Rural,675,36037,36712,Kyaikemaraw,MMR011002
 Total,797,38091,38888,Kyaikemaraw,MMR011002
 Urban,173,1571,1744,Chaungzon,MMR011003
 Rural,737,25463,26200,Chaungzon,MMR011003
 Total,910,27034,27944,Chaungzon,MMR011003
 Urban,983,10732,11715,Thanbyuzayat,MMR011004
 Rural,522,23997,24519,Thanbyuzayat,MMR011004
 Total,1505,34729,36234,Thanbyuzayat,MMR011004
 Urban,300,10492,10792,Mudon,MMR011005
 Rural,305,28215,28520,Mudon,MMR011005
 Total,605,38707,39312,Mudon,MMR011005
 Urban,219,5894,6113,Ye,MMR011006
 Rural,373,23505,23878,Ye,MMR011006
 Total,592,29399,29991,Ye,MMR011006
 Urban,10,2957,2967,Lamine,MMR011006
 Rural,478,15194,15672,Lamine,MMR011006
 Total,488,18151,18639,Lamine,MMR011006
 Urban,6,772,778,Khawzar,MMR011006
 Rural,27,4013,4040,Khawzar,MMR011006
 Total,33,4785,4818,Khawzar,MMR011006
 Urban,576,10130,10706,Thaton,MMR011007
 Rural,808,36770,37578,Thaton,MMR011007
 Total,1384,46900,48284,Thaton,MMR011007
 Urban,425,5477,5902,Paung,MMR011008
 Rural,1174,36650,37824,Paung,MMR011008
 Total,1599,42127,43726,Paung,MMR011008
 Urban,328,7188,7516,Kyaikto,MMR011009
 Rural,394,30178,30572,Kyaikto,MMR011009
 Total,722,37366,38088,Kyaikto,MMR011009
 Urban,151,3893,4044,Bilin,MMR011010
 Rural,441,34746,35187,Bilin,MMR011010
 Total,592,38639,39231,Bilin,MMR011010
 Urban,2434,16472,18906,Sittway,MMR012001
 Rural,282,9848,10130,Sittway,MMR012001
 Total,2716,26320,29036,Sittway,MMR012001
 Urban,137,2329,2466,Ponnagyun,MMR012002
 Rural,16,22853,22869,Ponnagyun,MMR012002
 Total,153,25182,25335,Ponnagyun,MMR012002
 Urban,89,2381,2470,Pauktaw,MMR012007
 Rural,91,27983,28074,Pauktaw,MMR012007
 Total,180,30364,30544,Pauktaw,MMR012007
 Urban,163,1347,1510,Yethedaung,MMR012008
 Rural,114,22717,22831,Yethedaung,MMR012008
 Total,277,24064,24341,Yethedaung,MMR012008
 Urban,302,6972,7274,Myauk U,MMR012003
 Rural,179,34072,34251,Myauk U,MMR012003
 Total,481,41044,41525,Myauk U,MMR012003
 Urban,359,3480,3839,Kyauktaw,MMR012004
 Rural,225,32431,32656,Kyauktaw,MMR012004
 Total,584,35911,36495,Kyauktaw,MMR012004
 Urban,272,4343,4615,Minbya,MMR012005
 Rural,136,31877,32013,Minbya,MMR012005
 Total,408,36220,36628,Minbya,MMR012005
 Urban,180,2438,2618,Myebon,MMR012006
 Rural,178,28543,28721,Myebon,MMR012006
 Total,358,30981,31339,Myebon,MMR012006
 Urban,291,2023,2314,Maungtaw,MMR012009
 Rural,65,5011,5076,Maungtaw,MMR012009
 Total,356,7034,7390,Maungtaw,MMR012009
 Urban,299,1763,2062,Buthidaung,MMR012010
 Rural,99,9103,9202,Buthidaung,MMR012010
 Total,398,10866,11264,Buthidaung,MMR012010
 Urban,3,155,158,Taungpyoletwe(ST),MMR012009
 Rural,2,346,348,Taungpyoletwe(ST),MMR012009
 Total,5,501,506,Taungpyoletwe(ST),MMR012009
 Urban,275,3979,4254,Kyaukpyu,MMR012011
 Rural,117,32893,33010,Kyaukpyu,MMR012011
 Total,392,36872,37264,Kyaukpyu,MMR012011
 Urban,73,1233,1306,Mannaung,MMR017011
 Rural,54,13375,13429,Mannaung,MMR017011
 Total,127,14608,14735,Mannaung,MMR017011
 Urban,153,2095,2248,Yanbye,MMR012013
 Rural,20,20150,20170,Yanbye,MMR012013
 Total,173,22245,22418,Yanbye,MMR012013
 Urban,71,1807,1878,An,MMR012014
 Rural,128,25353,25481,An,MMR012014
 Total,199,27160,27359,An,MMR012014
 Urban,626,2724,3350,Thandwe,MMR012015
 Rural,1284,26441,27725,Thandwe,MMR012015
 Total,1910,29165,31075,Thandwe,MMR012015
 Urban,703,5475,6178,Toungup,MMR012016
 Rural,132,18929,19061,Toungup,MMR012016
 Total,835,24404,25239,Toungup,MMR012016
 Urban,264,2224,2488,Gwa,MMR012017
 Rural,61,8696,8757,Gwa,MMR012017
 Total,325,10920,11245,Gwa,MMR012017
 Urban,10,1205,1215,Maei(ST),MMR012016
 Rural,6,8732,8738,Maei(ST),MMR012016
 Total,16,9937,9953,Maei(ST),MMR012016
 Urban,135,1340,1475,Kyeintali(ST),MMR012017
 Rural,107,4499,4606,Kyeintali(ST),MMR012017
 Total,242,5839,6081,Kyeintali(ST),MMR012017
 Urban,30123,31553,61676,Insein,MMR013001
 Total,30123,31553,61676,Insein,MMR013001
 Urban,7272,34369,41641,Mingaladon,MMR013002
 Rural,2187,22475,24662,Mingaladon,MMR013002
 Total,9459,56844,66303,Mingaladon,MMR013002
 Urban,1202,4740,5942,Hmawby,MMR013003
 Rural,3997,46530,50527,Hmawby,MMR013003
 Total,5199,51270,56469,Hmawby,MMR013003
 Urban,913,7836,8749,Hlegu,MMR013004
 Rural,2483,46791,49274,Hlegu,MMR013004
 Total,3396,54627,58023,Hlegu,MMR013004
 Urban,1729,18630,20359,Taikkyi,MMR013005
 Rural,992,45648,46640,Taikkyi,MMR013005
 Total,2721,64278,66999,Taikkyi,MMR013005
 Urban,212,1844,2056,Htantabin,MMR013006
 Rural,1440,30715,32155,Htantabin,MMR013006
 Total,1652,32559,34211,Htantabin,MMR013006
 Urban,15862,42649,58511,Shwepyitha,MMR013007
 Rural,1428,13836,15264,Shwepyitha,MMR013007
 Total,17290,56485,73775,Shwepyitha,MMR013007
 Urban,10201,93606,103807,Hlinethaya,MMR013008
 Rural,2461,42443,44904,Hlinethaya,MMR013008
 Total,12662,136049,148711,Hlinethaya,MMR013008
 Urban,14004,29316,43320,Thingangyun,MMR013009
 Total,14004,29316,43320,Thingangyun,MMR013009
 Urban,5663,8974,14637,Yankin,MMR013010
 Total,5663,8974,14637,Yankin,MMR013010
 Urban,7948,24777,32725,South Okkalapa,MMR013011
 Total,7948,24777,32725,South Okkalapa,MMR013011
 Urban,15195,49561,64756,North Okkalapa,MMR013012
 Total,15195,49561,64756,North Okkalapa,MMR013012
 Urban,10812,34644,45456,Thakayta,MMR013013
 Total,10812,34644,45456,Thakayta,MMR013013
 Urban,3178,11231,14409,Dawbon,MMR013014
 Total,3178,11231,14409,Dawbon,MMR013014
 Urban,13106,22254,35360,Tamway,MMR013015
 Total,13106,22254,35360,Tamway,MMR013015
 Urban,4465,5841,10306,Pazuntaung,MMR013016
 Total,4465,5841,10306,Pazuntaung,MMR013016
 Urban,3723,4674,8397,Botahtaung,MMR013017
 Total,3723,4674,8397,Botahtaung,MMR013017
 Urban,9251,67733,76984,Dagon Myothit(South),MMR013018
 Total,9251,67733,76984,Dagon Myothit(South),MMR013018
 Urban,14303,28401,42704,Dagon Myothit(North),MMR013019
 Total,14303,28401,42704,Dagon Myothit(North),MMR013019
 Urban,5976,25919,31895,Dagon Myothit(East),MMR013020
 Rural,161,1857,2018,Dagon Myothit(East),MMR013020
 Total,6137,27776,33913,Dagon Myothit(East),MMR013020
 Urban,4038,30134,34172,Dagon Myothit(Seik),MMR013021
 Rural,127,3606,3733,Dagon Myothit(Seik),MMR013021
 Total,4165,33740,37905,Dagon Myothit(Seik),MMR013021
 Urban,7141,18777,25918,Mingala Taungnyunt,MMR013022
 Total,7141,18777,25918,Mingala Taungnyunt,MMR013022
 Urban,3856,14853,18709,Thanlyin,MMR013023
 Rural,2319,40569,42888,Thanlyin,MMR013023
 Total,6175,55422,61597,Thanlyin,MMR013023
 Urban,1341,8523,9864,Kyauktan,MMR013024
 Rural,1173,21939,23112,Kyauktan,MMR013024
 Total,2514,30462,32976,Kyauktan,MMR013024
 Urban,846,5910,6756,Thongwa,MMR013025
 Rural,939,32392,33331,Thongwa,MMR013025
 Total,1785,38302,40087,Thongwa,MMR013025
 Urban,556,7322,7878,Khayan,MMR013026
 Rural,820,30616,31436,Khayan,MMR013026
 Total,1376,37938,39314,Khayan,MMR013026
 Urban,806,8391,9197,Twantay,MMR013027
 Rural,1141,41264,42405,Twantay,MMR013027
 Total,1947,49655,51602,Twantay,MMR013027
 Urban,323,1908,2231,Kawhmu,MMR013028
 Rural,437,27124,27561,Kawhmu,MMR013028
 Total,760,29032,29792,Kawhmu,MMR013028
 Urban,295,3663,3958,Kungyangon,MMR013029
 Rural,543,23851,24394,Kungyangon,MMR013029
 Total,838,27514,28352,Kungyangon,MMR013029
 Urban,2417,22914,25331,Dala,MMR013030
 Rural,532,12049,12581,Dala,MMR013030
 Total,2949,34963,37912,Dala,MMR013030
 Urban,8,343,351,Cocogyun,MMR013032
 Total,8,343,351,Cocogyun,MMR013032
 Urban,40,2450,2490,Tada(ST),MMR013024
 Rural,60,6943,7003,Tada(ST),MMR013024
 Total,100,9393,9493,Tada(ST),MMR013024
 Urban,2410,3710,6120,Kyauktada,MMR013033
 Total,2410,3710,6120,Kyauktada,MMR013033
 Urban,2811,3752,6563,Pabedan,MMR013034
 Total,2811,3752,6563,Pabedan,MMR013034
 Urban,4115,4484,8599,Lanmadaw,MMR013035
 Total,4115,4484,8599,Lanmadaw,MMR013035
 Urban,1441,3032,4473,Latha,MMR013036
 Total,1441,3032,4473,Latha,MMR013036
 Urban,4436,6507,10943,Ahlon,MMR013037
 Total,4436,6507,10943,Ahlon,MMR013037
 Urban,7266,15796,23062,Kyimyindine,MMR013038
 Total,7266,15796,23062,Kyimyindine,MMR013038
 Urban,8668,11967,20635,Sangyoung,MMR013039
 Total,8668,11967,20635,Sangyoung,MMR013039
 Urban,17671,15166,32837,Hline,MMR013040
 Total,17671,15166,32837,Hline,MMR013040
 Urban,9591,6708,16299,Kamayut,MMR013041
 Total,9591,6708,16299,Kamayut,MMR013041
 Urban,12528,26279,38807,Mayangon,MMR013042
 Total,12528,26279,38807,Mayangon,MMR013042
 Urban,2757,1851,4608,Dagon,MMR013043
 Total,2757,1851,4608,Dagon,MMR013043
 Urban,8071,9355,17426,Bahan,MMR013044
 Total,8071,9355,17426,Bahan,MMR013044
 Urban,129,281,410,Seikkan,MMR013045
 Total,129,281,410,Seikkan,MMR013045
 Urban,8877,47771,56648,Taunggyi,MMR014001
 Rural,869,25087,25956,Taunggyi,MMR014001
 Total,9746,72858,82604,Taunggyi,MMR014001
 Urban,809,2250,3059,Nyaungshwe,MMR014002
 Rural,795,38780,39575,Nyaungshwe,MMR014002
 Total,1604,41030,42634,Nyaungshwe,MMR014002
 Urban,509,4027,4536,Hopon,MMR014003
 Rural,122,20070,20192,Hopon,MMR014003
 Total,631,24097,24728,Hopon,MMR014003
 Urban,274,2375,2649,Hsihseng,MMR014004
 Rural,306,29816,30122,Hsihseng,MMR014004
 Total,580,32191,32771,Hsihseng,MMR014004
 Urban,981,11617,12598,Kalaw,MMR014005
 Rural,760,27983,28743,Kalaw,MMR014005
 Total,1741,39600,41341,Kalaw,MMR014005
 Urban,84,2175,2259,Pindaya,MMR014006
 Rural,52,15233,15285,Pindaya,MMR014006
 Total,136,17408,17544,Pindaya,MMR014006
 Urban,89,1066,1155,Ywarngan,MMR014007
 Rural,63,17130,17193,Ywarngan,MMR014007
 Total,152,18196,18348,Ywarngan,MMR014007
 Urban,327,5350,5677,Yatsauk,MMR014008
 Rural,229,20051,20280,Yatsauk,MMR014008
 Total,556,25401,25957,Yatsauk,MMR014008
 Urban,564,2206,2770,Pinlaung,MMR014009
 Rural,173,22561,22734,Pinlaung,MMR014009
 Total,737,24767,25504,Pinlaung,MMR014009
 Urban,182,3249,3431,Phekon,MMR014010
 Rural,134,16519,16653,Phekon,MMR014010
 Total,316,19768,20084,Phekon,MMR014010
 Urban,11,591,602,Kyauktalongyi(ST),MMR014001
 Rural,203,11460,11663,Kyauktalongyi(ST),MMR014001
 Total,214,12051,12265,Kyauktalongyi(ST),MMR014001
 Urban,62,1774,1836,Indaw(ST),MMR014008
 Rural,32,6282,6314,Indaw(ST),MMR014008
 Total,94,8056,8150,Indaw(ST),MMR014008
 Urban,235,744,979,Naungtayar(ST),MMR014009
 Rural,444,15156,15600,Naungtayar(ST),MMR014009
 Total,679,15900,16579,Naungtayar(ST),MMR014009
 Urban,638,2215,2853,Loilem,MMR014011
 Rural,38,8010,8048,Loilem,MMR014011
 Total,676,10225,10901,Loilem,MMR014011
 Urban,108,1222,1330,Le`char,MMR014012
 Rural,57,7403,7460,Le`char,MMR014012
 Total,165,8625,8790,Le`char,MMR014012
 Urban,607,4234,4841,Nanhsam(South),MMR014013
 Rural,156,13866,14022,Nanhsam(South),MMR014013
 Total,763,18100,18863,Nanhsam(South),MMR014013
 Urban,229,1313,1542,Kunhing,MMR014014
 Rural,31,2997,3028,Kunhing,MMR014014
 Total,260,4310,4570,Kunhing,MMR014014
 Urban,16,826,842,Kehsi,MMR014015
 Rural,18,8041,8059,Kehsi,MMR014015
 Total,34,8867,8901,Kehsi,MMR014015
 Urban,22,2197,2219,Mongkai,MMR014016
 Rural,6,14107,14113,Mongkai,MMR014016
 Total,28,16304,16332,Mongkai,MMR014016
 Urban,305,1778,2083,Mineshu,MMR014017
 Rural,49,7069,7118,Mineshu,MMR014017
 Total,354,8847,9201,Mineshu,MMR014017
 Urban,773,4451,5224,Panglong(ST),MMR014011
 Rural,80,9212,9292,Panglong(ST),MMR014011
 Total,853,13663,14516,Panglong(ST),MMR014011
 Urban,192,1556,1748,Kholan(ST),MMR014013
 Rural,92,2524,2616,Kholan(ST),MMR014013
 Total,284,4080,4364,Kholan(ST),MMR014013
 Urban,204,1461,1665,Karli(ST),MMR014014
 Rural,51,4851,4902,Karli(ST),MMR014014
 Total,255,6312,6567,Karli(ST),MMR014014
 Urban,4,748,752,Minenaung(ST),MMR014015
 Rural,15,5044,5059,Minenaung(ST),MMR014015
 Total,19,5792,5811,Minenaung(ST),MMR014015
 Urban,2,505,507,Minesan(Monsan)(ST),MMR014017
 Rural,169,5990,6159,Minesan(Monsan)(ST),MMR014017
 Total,171,6495,6666,Minesan(Monsan)(ST),MMR014017
 Urban,282,1436,1718,Linkhe`,MMR014018
 Rural,155,6515,6670,Linkhe`,MMR014018
 Total,437,7951,8388,Linkhe`,MMR014018
 Urban,204,1899,2103,Mone`,MMR014019
 Rural,33,4088,4121,Mone`,MMR014019
 Total,237,5987,6224,Mone`,MMR014019
 Urban,6,1186,1192,Maukme`,MMR014020
 Rural,4,5998,6002,Maukme`,MMR014020
 Total,10,7184,7194,Maukme`,MMR014020
 Urban,150,1809,1959,Minepan,MMR014021
 Rural,30,3432,3462,Minepan,MMR014021
 Total,180,5241,5421,Minepan,MMR014021
 Urban,12,662,674,Homane(ST),MMR014018
 Rural,-,486,486,Homane(ST),MMR014018
 Total,12,1148,1160,Homane(ST),MMR014018
 Urban,27,2070,2097,Kengtaung(ST),MMR014019
 Rural,-,164,164,Kengtaung(ST),MMR014019
 Total,27,2234,2261,Kengtaung(ST),MMR014019
 Urban,5789,28310,34099,Lashio,MMR015001
 Rural,298,30535,30833,Lashio,MMR015001
 Total,6087,58845,64932,Lashio,MMR015001
 Urban,384,1539,1923,Theinni,MMR015002
 Rural,140,9716,9856,Theinni,MMR015002
 Total,524,11255,11779,Theinni,MMR015002
 Urban,114,1356,1470,Mineye`,MMR015003
 Rural,75,11783,11858,Mineye`,MMR015003
 Total,189,13139,13328,Mineye`,MMR015003
 Urban,434,6374,6808,Tantyan,MMR015004
 Rural,37,28297,28334,Tantyan,MMR015004
 Total,471,34671,35142,Tantyan,MMR015004
 Urban,1593,11741,13334,MuSe,MMR015009
 Rural,427,8453,8880,MuSe,MMR015009
 Total,2020,20194,22214,MuSe,MMR015009
 Urban,458,5674,6132,Namkham,MMR015010
 Rural,81,15204,15285,Namkham,MMR015010
 Total,539,20878,21417,Namkham,MMR015010
 Urban,486,4197,4683,Kukai,MMR015011
 Rural,144,14204,14348,Kukai,MMR015011
 Total,630,18401,19031,Kukai,MMR015011
 Urban,46,1423,1469,Monekoe(ST),MMR015009
 Rural,9,2880,2889,Monekoe(ST),MMR015009
 Total,55,4303,4358,Monekoe(ST),MMR015009
 Urban,24,322,346,Manhero(ST),MMR015009
 Rural,27,1270,1297,Manhero(ST),MMR015009
 Total,51,1592,1643,Manhero(ST),MMR015009
 Urban,90,1678,1768,Pansai(KyuKute)(ST),MMR015009
 Rural,11,2764,2775,Pansai(KyuKute)(ST),MMR015009
 Total,101,4442,4543,Pansai(KyuKute)(ST),MMR015009
 Urban,151,2336,2487,Tamoenye(ST),MMR015011
 Rural,16,10546,10562,Tamoenye(ST),MMR015011
 Total,167,12882,13049,Tamoenye(ST),MMR015011
 Urban,744,7909,8653,Kyukme,MMR015012
 Rural,192,19526,19718,Kyukme,MMR015012
 Total,936,27435,28371,Kyukme,MMR015012
 Urban,651,3520,4171,Naungkhio,MMR015013
 Rural,565,27488,28053,Naungkhio,MMR015013
 Total,1216,31008,32224,Naungkhio,MMR015013
 Urban,287,3722,4009,Hsipaw,MMR015014
 Rural,305,33592,33897,Hsipaw,MMR015014
 Total,592,37314,37906,Hsipaw,MMR015014
 Urban,39,3218,3257,Namtu,MMR015015
 Rural,17,8367,8384,Namtu,MMR015015
 Total,56,11585,11641,Namtu,MMR015015
 Urban,22,913,935,Namsan(North),MMR015016
 Rural,1,12749,12750,Namsan(North),MMR015016
 Total,23,13662,13685,Namsan(North),MMR015016
 Urban,175,2058,2233,Momeik,MMR015017
 Rural,146,11273,11419,Momeik,MMR015017
 Total,321,13331,13652,Momeik,MMR015017
 Urban,44,670,714,Mabane,MMR015018
 Rural,121,7797,7918,Mabane,MMR015018
 Total,165,8467,8632,Mabane,MMR015018
 Urban,4,775,779,Manton,MMR015019
 Rural,4,6900,6904,Manton,MMR015019
 Total,8,7675,7683,Manton,MMR015019
 Urban,1,612,613,Minengaw(ST),MMR015012
 Rural,2,3414,3416,Minengaw(ST),MMR015012
 Total,3,4026,4029,Minengaw(ST),MMR015012
 Urban,-,586,586,Minelon(ST),MMR015012
 Rural,2,5268,5270,Minelon(ST),MMR015012
 Total,2,5854,5856,Minelon(ST),MMR015012
 Urban,29,1129,1158,Kunlon,MMR015020
 Rural,64,9170,9234,Kunlon,MMR015020
 Total,93,10299,10392,Kunlon,MMR015020
 Urban,306,2635,2941,Laukine,MMR015022
 Rural,71,11219,11290,Laukine,MMR015022
 Total,377,13854,14231,Laukine,MMR015022
 Urban,48,146,194,Kongyan,MMR015023
 Rural,5,5263,5268,Kongyan,MMR015023
 Total,53,5409,5462,Kongyan,MMR015023
 Urban,54,565,619,Chinshwehaw(ST),MMR015022
 Rural,-,331,331,Chinshwehaw(ST),MMR015022
 Total,54,896,950,Chinshwehaw(ST),MMR015022
 Urban,14,71,85,Mawhtike(ST),MMR015023
 Rural,6,4112,4118,Mawhtike(ST),MMR015023
 Total,20,4183,4203,Mawhtike(ST),MMR015023
 Urban,137,3241,3378,Hopan,MMR015021
 Rural,92,6561,6653,Hopan,MMR015021
 Total,229,9802,10031,Hopan,MMR015021
 Urban,43,810,853,Minemaw,MMR015008
 Rural,30,9562,9592,Minemaw,MMR015008
 Total,73,10372,10445,Minemaw,MMR015008
 Urban,11,458,469,Panwine,MMR015007
 Rural,47,13453,13500,Panwine,MMR015007
 Total,58,13911,13969,Panwine,MMR015007
 Urban,-,661,661,Panlon(ST),MMR015021
 Rural,-,524,524,Panlon(ST),MMR015021
 Total,-,1185,1185,Panlon(ST),MMR015021
 Urban,6,61,67,Makman,MMR015024
 Rural,9,3242,3251,Makman,MMR015024
 Total,15,3303,3318,Makman,MMR015024
 Urban,630,1392,2022,Pan San(Pan Kham),MMR015005
 Rural,253,13867,14120,Pan San(Pan Kham),MMR015005
 Total,883,15259,16142,Pan San(Pan Kham),MMR015005
 Urban,4,151,155,Naphang,MMR015006
 Rural,34,16285,16319,Naphang,MMR015006
 Total,38,16436,16474,Naphang,MMR015006
 Urban,4,77,81,ManKan(ST),MMR015005
 Rural,-,234,234,ManKan(ST),MMR015005
 Total,4,311,315,ManKan(ST),MMR015005
 Urban,1829,7273,9102,Kengtung,MMR016001
 Rural,752,24242,24994,Kengtung,MMR016001
 Total,2581,31515,34096,Kengtung,MMR016001
 Urban,15,543,558,Minekat,MMR016002
 Rural,11,7456,7467,Minekat,MMR016002
 Total,26,7999,8025,Minekat,MMR016002
 Urban,31,958,989,Mineyan,MMR016003
 Rural,16,9114,9130,Mineyan,MMR016003
 Total,47,10072,10119,Mineyan,MMR016003
 Urban,471,1089,1560,Minelar,MMR016005
 Rural,119,3529,3648,Minelar,MMR016005
 Total,590,4618,5208,Minelar,MMR016005
 Rural,224,9061,9285,Mine Pauk(ST),MMR016003
 Total,224,9061,9285,Mine Pauk(ST),MMR016003
 Urban,140,1421,1561,Minesat,MMR016006
 Rural,184,14164,14348,Minesat,MMR016006
 Total,324,15585,15909,Minesat,MMR016006
 Urban,131,1202,1333,Minepyin,MMR016007
 Rural,14,9258,9272,Minepyin,MMR016007
 Total,145,10460,10605,Minepyin,MMR016007
 Urban,187,932,1119,Minetung,MMR016008
 Rural,19,3120,3139,Minetung,MMR016008
 Total,206,4052,4258,Minetung,MMR016008
 Urban,30,254,284,Minekoke(ST),MMR016006
 Rural,14,2904,2918,Minekoke(ST),MMR016006
 Total,44,3158,3202,Minekoke(ST),MMR016006
 Urban,2,425,427,Tontar(ST),MMR016007
 Rural,2,2265,2267,Tontar(ST),MMR016007
 Total,4,2690,2694,Tontar(ST),MMR016007
 Urban,5,716,721,Ponparkyin(ST),MMR016008
 Rural,45,6568,6613,Ponparkyin(ST),MMR016008
 Total,50,7284,7334,Ponparkyin(ST),MMR016008
 Urban,-,91,91,Monehta(ST),MMR016008
 Rural,4,834,838,Monehta(ST),MMR016008
 Total,4,925,929,Monehta(ST),MMR016008
 Urban,1746,9348,11094,Tachileik,MMR016009
 Rural,823,19262,20085,Tachileik,MMR016009
 Total,2569,28610,31179,Tachileik,MMR016009
 Urban,99,774,873,Talay(ST),MMR016009
 Rural,35,3110,3145,Talay(ST),MMR016009
 Total,134,3884,4018,Talay(ST),MMR016009
 Urban,50,712,762,Kenglat(ST),MMR016009
 Rural,5,1709,1714,Kenglat(ST),MMR016009
 Total,55,2421,2476,Kenglat(ST),MMR016009
 Urban,224,1099,1323,Minephyat,MMR016010
 Rural,75,4767,4842,Minephyat,MMR016010
 Total,299,5866,6165,Minephyat,MMR016010
 Urban,62,1128,1190,Mineyaung,MMR016011
 Rural,21,5118,5139,Mineyaung,MMR016011
 Total,83,6246,6329,Mineyaung,MMR016011
 Urban,3,228,231,Mineyu(ST),MMR016011
 Rural,223,10413,10636,Mineyu(ST),MMR016011
 Total,226,10641,10867,Mineyu(ST),MMR016011
 Urban,99,2575,2674,Kangyidaunt,MMR017002
 Rural,760,39532,40292,Kangyidaunt,MMR017002
 Total,859,42107,42966,Kangyidaunt,MMR017002
 Urban,38,3912,3950,Kyaungon,MMR017007
 Rural,102,37350,37452,Kyaungon,MMR017007
 Total,140,41262,41402,Kyaungon,MMR017007
 Urban,77,5922,5999,Kyonpyaw,MMR017005
 Rural,342,53147,53489,Kyonpyaw,MMR017005
