Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1173,11425,12598,Kalaw,MMR014005
 Rural,566,28177,28743,Kalaw,MMR014005
 Total,1739,39602,41341,Kalaw,MMR014005
