Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,432,3822,4254,Kyaukpyu,MMR012011
 Rural,498,32512,33010,Kyaukpyu,MMR012011
 Total,930,36334,37264,Kyaukpyu,MMR012011
