Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,485,7761,8246,Zeyarthiri,MMR018001
 Rural,293,17536,17829,Zeyarthiri,MMR018001
 Total,778,25297,26075,Zeyarthiri,MMR018001
