Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,2985,34456,37441,Pathein,MMR017001
 Rural,735,27860,28595,Pathein,MMR017001
 Total,3720,62316,66036,Pathein,MMR017001
