Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,338,3833,4171,Naungkhio,MMR015013
 Rural,901,27152,28053,Naungkhio,MMR015013
 Total,1239,30985,32224,Naungkhio,MMR015013
