Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,3530,6776,10306,Pazuntaung,MMR013016
 Total,3530,6776,10306,Pazuntaung,MMR013016
