Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,699,31196,31895,Dagon Myothit(East),MMR013020
 Rural,47,1971,2018,Dagon Myothit(East),MMR013020
 Total,746,33167,33913,Dagon Myothit(East),MMR013020
