Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,168,2685,2853,Loilem,MMR014011
 Rural,68,7980,8048,Loilem,MMR014011
 Total,236,10665,10901,Loilem,MMR014011
