Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,16,1290,1306,Mannaung,MMR017011
 Rural,315,13114,13429,Mannaung,MMR017011
 Total,331,14404,14735,Mannaung,MMR017011
