Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,12,2091,2103,Mone`,MMR014019
 Rural,20,4101,4121,Mone`,MMR014019
 Total,32,6192,6224,Mone`,MMR014019
