Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,1,66,67,Makman,MMR015024
 Rural,27,3224,3251,Makman,MMR015024
 Total,28,3290,3318,Makman,MMR015024
