Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,44,425,469,Panwine,MMR015007
 Rural,361,13139,13500,Panwine,MMR015007
 Total,405,13564,13969,Panwine,MMR015007
