Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,58,704,762,Kenglat(ST),MMR016009
 Rural,93,1621,1714,Kenglat(ST),MMR016009
 Total,151,2325,2476,Kenglat(ST),MMR016009
