Urban_Rural,Land_line_phone_Yes,Land_line_phone_No,Land_line_phone_Total,Township,MIMU_code
 Urban,222,3617,3839,Kyauktaw,MMR012004
 Rural,753,31903,32656,Kyauktaw,MMR012004
 Total,975,35520,36495,Kyauktaw,MMR012004
